--input,--n_estimators,--max_depth,--min_samples_split,--min_samples_leaf,--max_features,--criterion,--max_samples,Run ID,accuracy,precision,recall,f1_score
DatasetConsumptionConfig:row_data,500,50,2,1,sqrt,gini,1,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_20,,,,
DatasetConsumptionConfig:row_data,500,50,2,1,log2,entropy,1,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_19,0.7846481876332623,0.6263345195729537,0.47058823529411764,0.5374045801526718
DatasetConsumptionConfig:row_data,500,10,2,1,log2,gini,1,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_18,0.7917555081734187,0.6505576208178439,0.4679144385026738,0.5443234836702955
DatasetConsumptionConfig:row_data,500,50,2,1,log2,gini,1,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_17,0.7874911158493249,0.6325088339222615,0.4786096256684492,0.5449010654490106
DatasetConsumptionConfig:row_data,100,50,2,1,log2,gini,1,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_16,0.7867803837953091,0.635036496350365,0.46524064171123,0.5370370370370371
DatasetConsumptionConfig:row_data,500,50,2,1,sqrt,entropy,1,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_15,0.7846481876332623,0.628158844765343,0.46524064171123,0.5345622119815668
DatasetConsumptionConfig:row_data,500,50,2,1,log2,gini,0.9714671861345908,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_14,0.7889125799573561,0.6379928315412187,0.47593582887700536,0.5451761102603369
DatasetConsumptionConfig:row_data,500,50,2,1,log2,gini,0.7332824197195653,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_13,0.7924662402274343,0.6496350364963503,0.47593582887700536,0.5493827160493827
DatasetConsumptionConfig:row_data,500,50,2,1,sqrt,gini,0.4294641920606786,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_12,0.7960199004975125,0.6653992395437263,0.4679144385026738,0.5494505494505495
DatasetConsumptionConfig:row_data,100,50,2,1,log2,entropy,0.6302885116790234,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_11,0.7924662402274343,0.6529850746268657,0.4679144385026738,0.5451713395638629
DatasetConsumptionConfig:row_data,500,50,2,1,log2,gini,0.6893327422612242,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_10,0.7889125799573561,0.6410256410256411,0.4679144385026738,0.5409582689335394
DatasetConsumptionConfig:row_data,500,50,2,1,log2,gini,0.5438364177121071,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_9,0.7931769722814499,0.6509090909090909,0.4786096256684492,0.551617873651772
DatasetConsumptionConfig:row_data,100,50,2,10,log2,entropy,0.9006447980770118,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_8,0.7953091684434968,0.6706349206349206,0.45187165775401067,0.5399361022364217
DatasetConsumptionConfig:row_data,500,10,10,10,log2,entropy,0.30791998333260684,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_7,0.7953091684434968,0.672,0.44919786096256686,0.5384615384615384
DatasetConsumptionConfig:row_data,100,50,10,10,log2,gini,0.31395868437892893,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_6,0.7945984363894811,0.6653696498054474,0.4572192513368984,0.5419968304278923
DatasetConsumptionConfig:row_data,100,50,2,1,log2,entropy,0.7500165598815721,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_5,0.7903340440653873,0.6415770609318996,0.4786096256684492,0.5482388973966309
DatasetConsumptionConfig:row_data,100,50,10,10,sqrt,gini,0.41818428298985055,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_4,0.7903340440653873,0.659919028340081,0.4358288770053476,0.5249597423510467
DatasetConsumptionConfig:row_data,500,50,10,10,log2,entropy,0.4566952250145576,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_3,0.7931769722814499,0.6614785992217899,0.45454545454545453,0.5388272583201268
DatasetConsumptionConfig:row_data,500,50,2,1,sqrt,gini,0.720981158292975,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_2,0.7910447761194029,0.644927536231884,0.47593582887700536,0.5476923076923077
DatasetConsumptionConfig:row_data,100,50,10,10,sqrt,entropy,0.8721276520391525,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_1,0.7938877043354655,0.6578947368421053,0.4679144385026738,0.546875
DatasetConsumptionConfig:row_data,500,50,10,10,sqrt,gini,0.31517427854028024,HD_baf0c286-19e1-4cc3-8795-b41cf68d3fa9_0,0.7924662402274343,0.6589147286821705,0.45454545454545453,0.5379746835443038
